이름,소속 광역자치단체,형태,면적(km2),인구(명),,,,,,,
남구,부산광역시,자치구,26.81,"279,033",,,,,,,
동구,부산광역시,자치구,9.74,"86,671",,,,,,,
동래구,부산광역시,자치구,16.63,"266,860",,,,,,,
부산진구,부산광역시,자치구,29.68,"360,885",,,,,,,
북구,부산광역시,자치구,39.36,"295,517",,,,,,,
사상구,부산광역시,자치구,36.09,"222,315",,,,,,,
사하구,부산광역시,자치구,41.75,"326,061",,,,,,,
서구,부산광역시,자치구,13.96,"110,384",,,,,,,
수영구,부산광역시,자치구,10.21,"176,118",,,,,,,
연제구,부산광역시,자치구,12.1,"208,637",,,,,,,
영도구,부산광역시,자치구,14.19,"119,494",,,,,,,
중구,부산광역시,자치구,2.83,"42,634",,,,,,,
해운대구,부산광역시,자치구,51.47,"409,032",,,,,,,
강남구,서울특별시,자치구,39.5,"542,341",,,,,,,
강동구,서울특별시,자치구,24.59,"426,178",,,,,,,
강북구,서울특별시,자치구,23.6,"318,268",,,,,,,
강서구,서울특별시,자치구,41.44,"596,602",,,,,,,
관악구,서울특별시,자치구,29.57,"502,435",,,,,,,
광진구,서울특별시,자치구,17.06,"355,387",,,,,,,
구로구,서울특별시,자치구,20.12,"403,668",,,,,,,
금천구,서울특별시,자치구,13.02,"234,157",,,,,,,
노원구,서울특별시,자치구,35.44,"541,800",,,,,,,
도봉구,서울특별시,자치구,20.67,"338,373",,,,,,,
동대문구,서울특별시,자치구,14.21,"347,459",,,,,,,
동작구,서울특별시,자치구,16.35,"398,685",,,,,,,
마포구,서울특별시,자치구,23.84,"375,372",,,,,,,
서대문구,서울특별시,자치구,17.61,"311,700",,,,,,,
서초구,서울특별시,자치구,46.98,"433,565",,,,,,,
성동구,서울특별시,자치구,16.86,"307,064",,,,,,,
성북구,서울특별시,자치구,24.58,"435,754",,,,,,,
송파구,서울특별시,자치구,33.88,"675,450",,,,,,,
양천구,서울특별시,자치구,17.41,"463,103",,,,,,,
영등포구,서울특별시,자치구,24.53,"368,437",,,,,,,
용산구,서울특별시,자치구,21.87,"229,279",,,,,,,
은평구,서울특별시,자치구,29.7,"484,070",,,,,,,
종로구,서울특별시,자치구,23.91,"152,880",,,,,,,
중구,서울특별시,자치구,9.96,"125,995",,,,,,,
중랑구,서울특별시,자치구,18.5,"402,616",,,,,,,
남구,울산광역시,자치구,73.05,"329,765",,,,,,,
동구,울산광역시,자치구,36.04,"163,430",,,,,,,
북구,울산광역시,자치구,157.33,"208,378",,,,,,,
울주군,울산광역시,군,757.37,"221,861",,,,,,,
